train_indices;barrio;cod_barrio;distrito;cod_distrito;longitud;latitud;precio.house.m2;sup.const;sup.util;ref.hip.zona;dorm;banos;tipo.casa;inter.exter;ascensor;estado;antig;comercial;casco.historico;Ruidos_ext;Mal_olor;Poca_limp;Malas_comunic;Pocas_zonas;Delincuencia;M.30;CO;NO2;Nox;O3;SO2;PM10;Pobl.0_14_div_Poblac.Total;PoblJubilada_div_Poblac.Total;Inmigrantes.porc
519;Pradolongo;127;usera;12;-3,707993;40,385586;2273;88;80;2691;3;1;atico;interior;si;a_reformar;30;0;0;0,44;0,31;0,52;0,2;0,26;0,69;0;0,537291278;0,001941911;0,081336658;0,243639696;-0,545925294;0,211775559;14,76177323;17,68055585;20,54338511
522;San Fermín;123;usera;12;-3,691792;40,369648;2059;85;70;2546;2;1;piso;interior;si;buen_estado;25;0;0;0,45;0,47;0,62;0,59;0,48;0,75;0;-0,191109126;-0,00346781;-0,003660464;0,055845137;-0,669067601;0,254221819;14,76177323;17,68055585;20,54338511
523;Pradolongo;127;usera;12;-3,709903;40,384098;2750;60;55;2729;2;1;piso;exterior;no;buen_estado;30;0;0;0,44;0,31;0,52;0,2;0,26;0,69;0;0,459318958;0,005276436;0,133728448;0,269600014;-0,518838547;0,164927104;14,76177323;17,68055585;20,54338511
525;Pradolongo;127;usera;12;-3,7054;40,381276;3167;57;50;3540;2;1;piso;exterior;si;reg,-mal;28,08201686;0;0;0,44;0,31;0,52;0,2;0,26;0,69;0;0,355262333;-0,003174666;0,000945393;0,181025473;-0,5769692;0,231139294;14,76177323;17,68055585;20,54338511
528;Arcos;204;san_blas;20;-3,6102867;40,428203;3961;51;37;3721;1;1;piso;interior;si;buen_estado;3;0;0;0,33;0,18;0,57;0,23;0,46;0,46;0;-0,372908802;-0,00346781;-0,003660464;0,055845137;-0,738570999;-0,216208115;15,78030972;16,98640757;9,820356237
531;Acacias;22;arganzuela;2;-3,703018;40,402047;3422;45;30;3223;1;1;piso;interior;no;buen_estado;26,75643033;1;1;0,42;0,35;0,48;0,14;0,24;0,4;0;1,010161806;0,088982356;0,287352105;0,654211811;-0,568404883;0,39542393;12,40597363;16,46376624;12,06777025
533;Delicias;25;arganzuela;2;-3,695376;40,400899;3975;60;50;3778;2;1;piso;exterior;si;buen_estado;30;1;1;0,47;0,44;0,58;0,09;0,42;0,55;0;1,502855838;0,222214365;1,302995994;0,201714229;-0,673060139;0,559888511;12,40597363;16,46376624;12,06777025
534;La Paz;85;fuencarral;8;-3,701388;40,486425;2947;114;95;3920;4;2;piso;exterior;si;a_reformar;25;0;0;0,38;0,16;0,3;0,15;0,09;0,27;0;-0,098912541;-0,00346781;-0,003660464;0,464191037;-0,595516171;0,02497035;14,20421856;16,94858245;7,080644733
536;Los Rosales;174;villaverde;17;-3,685441;40,357108;2875;80;68;2318;2;2;piso;exterior;si;buen_estado;7,5;0;0;0,44;0,44;0,53;0,49;0,4;0,63;0;-0,271638654;-0,00346781;-0,003660464;0,055845137;-0,674357375;0,115224301;15,43409004;16,55947157;18,12365171
537;Universidad;15;centro;1;-3,703594;40,429309;3882;152;136;4313;3;2;piso;exterior;si;buen_estado;40;1;1;0,48;0,33;0,56;0,03;0,65;0,67;1;0,780592854;-0,036252041;0,037566632;-0,687718915;1,033001745;0,396104099;8,897225664;16,24441444;18,57260186
538;Estrella;33;retiro;3;-3,667953;40,411552;3961;103;92;3961;3;2;piso;exterior;si;a_reformar;35;1;1;0,46;0,27;0,27;0,07;0,12;0,38;0;0,428902113;-0,00346781;-0,003660464;-0,104123928;0,045332151;-0,198867798;11,43431019;21,30855294;6,063612677
540;Ciudad Universitaria;93;moncloa;9;-3,710439;40,452483;4000;40;35;3382;2;1;piso;exterior;si;buen_estado;30;0;0;0,35;0,17;0,32;0,16;0,11;0,25;1;0,165334887;0,158582717;0,062850329;0,73149854;0,51880857;0,249543103;14,23890704;18,79822108;8,043024157
541;Campamento;105;latina;10;-3,769065;40,397586;2500;70;65;1750;3;1;piso;exterior;no;buen_estado;35;0;0;0,36;0,21;0,44;0,27;0,22;0,37;0;-0,224233694;-0,00346781;-0,003660464;0,055845137;-0,6343194;-0,25640667;11,66186069;21,8191402;13,94780088
542;Bellas Vistas;61;tetuan;6;-3,707997;40,45732;2857;56;48;3059;1;1;piso;exterior;no;buen_estado;30;0;0;0,4;0,23;0,46;0,03;0,5;0,46;0;0,044968042;-0,00346781;-0,003660464;0,428009284;0,395922846;0,252786365;11,18104406;19,55661377;17,55990757
543;Ciudad Universitaria;93;moncloa;9;-3,729207;40,471497;5250;360;340;3537;5;5;piso;exterior;si;buen_estado;25;1;0;0,35;0,17;0,32;0,16;0,11;0,25;0;-0,216852578;-0,00346781;-0,003660464;0,200922614;-0,642456581;-0,115997146;14,23890704;18,79822108;8,043024157
544;Palacio;11;centro;1;-3,714691;40,412096;5488;41;36;3872;1;1;piso;interior;si;buen_estado;22,89251306;1;1;0,43;0,29;0,43;0,06;0,36;0,45;1;0,172474571;0,46847861;0,260982571;1,021014674;-0,309227887;0,202228784;8,897225664;16,24441444;18,57260186
545;Delicias;25;arganzuela;2;-3,694185;40,399371;4757;105;92;2376;4;2;piso;exterior;si;a_reformar;29,59451423;1;1;0,47;0,44;0,58;0,09;0,42;0,55;0;1,44095682;0,173613323;1,02160529;0,129436529;-0,686181414;0,565708889;12,40597363;16,46376624;12,06777025
546;Cármenes;101;latina;10;-3,742604;40,406225;3936;47;40;2799;1;1;piso;exterior;no;buen_estado;25;0;0;0,37;0,22;0,53;0,24;0,2;0,53;0;-0,000272622;0,295455075;0,602395646;-0,444542064;-0,526250327;-0,144388522;11,66186069;21,8191402;13,94780088
547;Marroquina;143;moratalaz;14;-3,638792;40,411127;3034;145;120;3232;4;2;piso;exterior;si;buen_estado;15;0;0;0,28;0,15;0,31;0,16;0,13;0,27;0;0,171605218;-0,291869684;-0,247594928;-0,519928007;-0,012052167;-0,391501602;13,08628404;22,22093651;7,956298696
548;Delicias;25;arganzuela;2;-3,694234;40,398712;3812;150;135;3790;3;2;piso;exterior;si;buen_estado;5;1;1;0,47;0,44;0,58;0,09;0,42;0,55;0;1,395487533;0,146527009;0,864780735;0,119184986;-0,688099772;0,558068109;12,40597363;16,46376624;12,06777025
550;Valverde;86;fuencarral;8;-3,68808;40,495265;3111;90;60;3158;2;2;piso;exterior;no;buen_estado;3;0;0;0,34;0,19;0,48;0,19;0,39;0,4;0;-0,213059873;-0,00346781;-0,003660464;0,055845137;-0,539010758;-0,161808921;14,20421856;16,94858245;7,080644733
551;San Diego;132;puente_vallecas;13;-3,667803;40,391992;2640;125;100;3027;2;1;atico;exterior;si;buen_estado;2;0;0;0,46;0,35;0,65;0,17;0,59;0,57;0;-0,206732363;-0,00346781;-0,003660464;0,082888225;-0,619502309;-0,146811582;14,08516192;17,53242516;15,65135819
552;Cortes;13;centro;1;-3,6977351;40,416439;6333;150;140;4150;3;4;atico;exterior;si;buen_estado;15;1;0;0,53;0,39;0,53;0,03;0,47;0,65;1;0,609603907;-0,38935976;-0,211100413;-0,505404671;0,574274913;0,506738514;8,897225664;16,24441444;18,57260186
553;Delicias;25;arganzuela;2;-3,693852;40,401601;3125;120;105;3672;3;2;piso;exterior;si;buen_estado;40;1;1;0,47;0,44;0,58;0,09;0,42;0,55;0;1,604645191;0,27386485;1,602042382;0,150103472;-0,67526874;0,593164764;12,40597363;16,46376624;12,06777025
554;Campamento;105;latina;10;-3,772774;40,395163;3080;113;80;3079;3;2;piso;exterior;si;buen_estado;7;0;0;0,36;0,21;0,44;0,27;0,22;0,37;0;-0,218759431;-0,00346781;-0,003660464;0,055845137;-0,625105086;-0,24280318;11,66186069;21,8191402;13,94780088
555;San Isidro;113;carabanchel;11;-3,730996;40,390979;2753;87;69;2770;2;1;piso;exterior;si;buen_estado;5;0;0;0,43;0,3;0,53;0,18;0,33;0,61;0;0,345506336;-0,325040302;-0,315550188;0,010131939;0,140769853;-0,028028395;13,43137217;18,6782269;17,83689337
556;Casco Histórico de Vallecas;181;vallecas;18;-3,622634;40,38132;2316;95;80;2733;3;1;piso;exterior;no;a_reformar;40;0;0;0,41;0,58;0,45;0,07;0,53;0,52;0;-0,597833459;-0,00346781;-0,003660464;0,150954752;-0,477520014;-0,232560308;16,32367335;11,57710845;9,574903049
557;Casco Histórico de Vicálvaro;191;vicalvaro;19;-3,614631;40,408366;2219;64;60;2556;3;1;piso;exterior;no;buen_estado;25;0;0;0,37;0,27;0,42;0,06;0,38;0,36;0;-0,169124174;-0,00346781;-0,003660464;0,055845137;-0,417989134;-0,216589391;18,37401856;12,62526767;9,042112777
559;Cuatro Vientos;106;latina;10;-3,7732;40,372689;2954;65;57;2953;1;2;piso;exterior;si;buen_estado;5;0;0;0,21;0,67;0,78;0,72;0,72;0,16;0;-0,271638654;-0,00346781;-0,003660464;0,055845137;-0,505744458;-0,209540139;11,66186069;21,8191402;13,94780088
561;Almenara;64;tetuan;6;-3,689411;40,473657;3238;80;77;3807;3;2;piso;exterior;si;buen_estado;30;0;0;0,41;0,26;0,45;0,15;0,49;0,49;0;-0,036854626;-0,067075787;0,247008027;-0,331734136;0,045395229;-0,047179271;11,18104406;19,55661377;17,55990757
562;Casco Histórico de Vallecas;181;vallecas;18;-3,615725;40,372166;2716;102;89;2835;3;2;piso;exterior;si;buen_estado;7,5;0;0;0,41;0,58;0,45;0,07;0,53;0,52;0;-0,504421882;-0,00346781;-0,003660464;0,242257427;-0,463950907;-0,190754483;16,32367335;11,57710845;9,574903049
564;Fontarrón;145;moratalaz;14;-3,64004;40,399482;2329;73;65;2716;3;2;piso;exterior;no;buen_estado;25;0;0;0,25;0,15;0,41;0,05;0,14;0,27;0;-0,268868782;-0,00866452;-0,008055916;-0,247439235;-0,258065416;-0,384707252;13,08628404;22,22093651;7,956298696
565;Villaverde Alto, Casco Histórico de Villaverde;171;villaverde;17;-3,714373;40,345769;3333;60;52;2413;2;1;piso;exterior;no;buen_estado;25;0;0;0,44;0,39;0,52;0,23;0,49;0,73;0;-0,271638654;-0,00346781;-0,003660464;0,055845137;-0,572835341;-0,093056681;15,43409004;16,55947157;18,12365171
566;Zofío;126;usera;12;-3,714237;40,378312;2375;80;60;2346;3;1;piso;exterior;no;buen_estado;30;0;0;0,32;0,19;0,38;0,22;0,08;0,45;0;0,170877315;-0,000434522;0,043998316;0,221821111;-0,462623959;0,050930028;14,76177323;17,68055585;20,54338511
567;Pacífico;31;retiro;3;-3,678339;40,406912;3750;80;70;3933;3;2;piso;exterior;si;buen_estado;25;1;1;0,38;0,27;0,37;0,02;0,32;0,26;0;0,776531052;-0,00346781;-0,003660464;-0,049828597;-0,134098396;0,15482372;11,43431019;21,30855294;6,063612677
568;Palomeras Bajas;133;puente_vallecas;13;-3,663812;40,382971;2034;65;63;2620;3;1;piso;exterior;no;segunda_mano;33,2479548;0;0;0,37;0,31;0,47;0,21;0,21;0,56;0;-0,69726036;-0,00346781;-0,003660464;0,093620762;-0,774026508;-0,220605452;14,08516192;17,53242516;15,65135819
569;Hispanoamérica;54;chamartin;5;-3,662707;40,454989;3506;72;62;4458;1;1;piso;exterior;si;buen_estado;40;0;0;0,37;0,19;0,32;0,04;0,22;0,22;0;-0,625355659;-0,00346781;-0,003660464;0,472114265;0,096050732;-0,383374651;12,64032448;20,78241528;13,43059008
571;Casco Histórico de Vicálvaro;191;vicalvaro;19;-3,625488;40,398006;3400;90;65;2703;2;2;piso;exterior;si;buen_estado;5;0;0;0,35;0,45;0,46;0,18;0,4;0,44;0;-0,297002765;-0,00346781;-0,003660464;0,030341864;-0,350438337;-0,269914031;18,37401856;12,62526767;9,042112777
572;Casa de Campo;91;moncloa;9;-3,721279;40,430245;4871;82;71;4773;3;1;piso;exterior;si;buen_estado;20,76268537;1;0;0,41;0,23;0,22;0,31;0,04;0,24;0;0,01659376;-0,001323827;0,025727959;0,030172194;-0,119727438;0,068314405;14,23890704;18,79822108;8,043024157
573;San Fermín;123;usera;12;-3,688856;40,366056;2685;108;95;2543;3;2;piso;exterior;si;buen_estado;7,5;0;0;0,45;0,47;0,62;0,59;0,48;0,75;0;-0,247031553;-0,00346781;-0,003660464;0,055845137;-0,677656947;0,209556797;14,76177323;17,68055585;20,54338511
574;Jerónimos;35;retiro;3;-3,689733;40,42124;6010;260;245;5770;7;3;piso;exterior;si;a_reformar;30;1;1;0,38;0,27;0,27;0,05;0,11;0,37;1;0,760163239;1,01263295;0,880307734;-1,048339876;1,214419295;0,486524066;11,43431019;21,30855294;6,063612677
575;Rios Rosas;75;chamberi;7;-3,700916;40,445058;4500;140;140;3888;5;2;atico;exterior;si;a_reformar;30;1;1;0,42;0,28;0,39;0,01;0,56;0,21;1;0,673246349;0,494403941;0,204619034;0,19306085;1,266226236;0,361202131;10,20823902;22,752651;9,660205495
579;Universidad;15;centro;1;-3,701782;40,427685;4855;138;120;3948;3;1;piso;exterior;si;buen_estado;33,25499283;1;1;0,48;0,33;0,56;0,03;0,65;0,67;1;0,7619829;-0,101441514;-0,002399303;-0,840186821;1,113759325;0,416371948;8,897225664;16,24441444;18,57260186
581;Ciudad Universitaria;93;moncloa;9;-3,729815;40,469347;4824;170;136;3777;3;3;piso;exterior;si;buen_estado;5;1;0;0,35;0,17;0,32;0,16;0,11;0,25;0;-0,227851769;-0,00346781;-0,003660464;0,139477116;-0,611417776;-0,121954503;14,23890704;18,79822108;8,043024157
582;Valverde;86;fuencarral;8;-3,674605;40,506148;5161;62;55;4167;1;1;piso;exterior;si;buen_estado;5;0;0;0,34;0,19;0,48;0,19;0,39;0,4;0;-0,271638654;-0,00346781;-0,003660464;0,055845137;-0,603769303;-0,277123075;14,20421856;16,94858245;7,080644733
585;Acacias;22;arganzuela;2;-3,70349;40,40065;5135;74;65;3540;2;2;piso;exterior;si;buen_estado;8;1;1;0,42;0,35;0,48;0,14;0,24;0,4;0;0,999318227;0,047131941;0,187661399;0,620056388;-0,591526796;0,381114768;12,40597363;16,46376624;12,06777025
